"learning_rate","max_bin","num_leaves","nrounds","boosting","max_depth","bagging_fraction","feature_fraction","accuracy"
0.1,256,40,100,"gbdt",10,1,1,0
0.05,256,40,100,"gbdt",10,1,1,0
0.01,256,40,100,"gbdt",10,1,1,0
0.1,512,40,100,"gbdt",10,1,1,0
0.05,512,40,100,"gbdt",10,1,1,0
0.01,512,40,100,"gbdt",10,1,1,0
0.1,1024,40,100,"gbdt",10,1,1,0
0.05,1024,40,100,"gbdt",10,1,1,0
0.01,1024,40,100,"gbdt",10,1,1,0
0.1,2048,40,100,"gbdt",10,1,1,0
0.05,2048,40,100,"gbdt",10,1,1,0
0.01,2048,40,100,"gbdt",10,1,1,0
0.1,256,50,100,"gbdt",10,1,1,0
0.05,256,50,100,"gbdt",10,1,1,0
0.01,256,50,100,"gbdt",10,1,1,0.604788267018264
0.1,512,50,100,"gbdt",10,1,1,0
0.05,512,50,100,"gbdt",10,1,1,0.648683693204608
0.01,512,50,100,"gbdt",10,1,1,0
0.1,1024,50,100,"gbdt",10,1,1,0
0.05,1024,50,100,"gbdt",10,1,1,0
0.01,1024,50,100,"gbdt",10,1,1,0
0.1,2048,50,100,"gbdt",10,1,1,-1
0.05,2048,50,100,"gbdt",10,1,1,0
0.01,2048,50,100,"gbdt",10,1,1,0
0.1,256,60,100,"gbdt",10,1,1,0
0.05,256,60,100,"gbdt",10,1,1,0
0.01,256,60,100,"gbdt",10,1,1,0.613477599552031
0.1,512,60,100,"gbdt",10,1,1,0
0.05,512,60,100,"gbdt",10,1,1,0.626212753620886
0.01,512,60,100,"gbdt",10,1,1,0
0.1,1024,60,100,"gbdt",10,1,1,0
0.05,1024,60,100,"gbdt",10,1,1,0
0.01,1024,60,100,"gbdt",10,1,1,0
0.1,2048,60,100,"gbdt",10,1,1,0
0.05,2048,60,100,"gbdt",10,1,1,0
0.01,2048,60,100,"gbdt",10,1,1,0
0.1,256,70,100,"gbdt",10,1,1,-1
0.05,256,70,100,"gbdt",10,1,1,0
0.01,256,70,100,"gbdt",10,1,1,0.62038974912928
0.1,512,70,100,"gbdt",10,1,1,0
0.05,512,70,100,"gbdt",10,1,1,0
0.01,512,70,100,"gbdt",10,1,1,0
0.1,1024,70,100,"gbdt",10,1,1,0
0.05,1024,70,100,"gbdt",10,1,1,0
0.01,1024,70,100,"gbdt",10,1,1,0
0.1,2048,70,100,"gbdt",10,1,1,0
0.05,2048,70,100,"gbdt",10,1,1,0
0.01,2048,70,100,"gbdt",10,1,1,0.665767484898909
0.1,256,40,150,"gbdt",10,1,1,0
0.05,256,40,150,"gbdt",10,1,1,0
0.01,256,40,150,"gbdt",10,1,1,0
0.1,512,40,150,"gbdt",10,1,1,0
0.05,512,40,150,"gbdt",10,1,1,0
0.01,512,40,150,"gbdt",10,1,1,0
0.1,1024,40,150,"gbdt",10,1,1,0
0.05,1024,40,150,"gbdt",10,1,1,0.52984575243345
0.01,1024,40,150,"gbdt",10,1,1,0
0.1,2048,40,150,"gbdt",10,1,1,-1
0.05,2048,40,150,"gbdt",10,1,1,0
0.01,2048,40,150,"gbdt",10,1,1,0
0.1,256,50,150,"gbdt",10,1,1,-1
0.05,256,50,150,"gbdt",10,1,1,0
0.01,256,50,150,"gbdt",10,1,1,0
0.1,512,50,150,"gbdt",10,1,1,-1
0.05,512,50,150,"gbdt",10,1,1,0
0.01,512,50,150,"gbdt",10,1,1,0
0.1,1024,50,150,"gbdt",10,1,1,0
0.05,1024,50,150,"gbdt",10,1,1,0
0.01,1024,50,150,"gbdt",10,1,1,0
0.1,2048,50,150,"gbdt",10,1,1,0
0.05,2048,50,150,"gbdt",10,1,1,0
0.01,2048,50,150,"gbdt",10,1,1,0
0.1,256,60,150,"gbdt",10,1,1,0
0.05,256,60,150,"gbdt",10,1,1,0
0.01,256,60,150,"gbdt",10,1,1,0
0.1,512,60,150,"gbdt",10,1,1,0
0.05,512,60,150,"gbdt",10,1,1,0
0.01,512,60,150,"gbdt",10,1,1,0
0.1,1024,60,150,"gbdt",10,1,1,0
0.05,1024,60,150,"gbdt",10,1,1,0
0.01,1024,60,150,"gbdt",10,1,1,0.660120213023673
0.1,2048,60,150,"gbdt",10,1,1,0
0.05,2048,60,150,"gbdt",10,1,1,0
0.01,2048,60,150,"gbdt",10,1,1,0.673346822714582
0.1,256,70,150,"gbdt",10,1,1,0
0.05,256,70,150,"gbdt",10,1,1,0
0.01,256,70,150,"gbdt",10,1,1,0.632387223345234
0.1,512,70,150,"gbdt",10,1,1,0
0.05,512,70,150,"gbdt",10,1,1,0
0.01,512,70,150,"gbdt",10,1,1,0
0.1,1024,70,150,"gbdt",10,1,1,0
0.05,1024,70,150,"gbdt",10,1,1,0
0.01,1024,70,150,"gbdt",10,1,1,0
0.1,2048,70,150,"gbdt",10,1,1,0
0.05,2048,70,150,"gbdt",10,1,1,0
0.01,2048,70,150,"gbdt",10,1,1,0
0.1,256,40,100,"dart",10,1,1,0
0.05,256,40,100,"dart",10,1,1,0
0.01,256,40,100,"dart",10,1,1,0.580287963209334
0.1,512,40,100,"dart",10,1,1,0
0.05,512,40,100,"dart",10,1,1,0.633354249155093
0.01,512,40,100,"dart",10,1,1,0.591106936772
0.1,1024,40,100,"dart",10,1,1,0
0.05,1024,40,100,"dart",10,1,1,0
0.01,1024,40,100,"dart",10,1,1,0
0.1,2048,40,100,"dart",10,1,1,0
0.05,2048,40,100,"dart",10,1,1,0
0.01,2048,40,100,"dart",10,1,1,0.60875069002355
0.1,256,50,100,"dart",10,1,1,0.587022394490931
0.05,256,50,100,"dart",10,1,1,0
0.01,256,50,100,"dart",10,1,1,0
0.1,512,50,100,"dart",10,1,1,0
0.05,512,50,100,"dart",10,1,1,0
0.01,512,50,100,"dart",10,1,1,0
0.1,1024,50,100,"dart",10,1,1,0
0.05,1024,50,100,"dart",10,1,1,0.666720610953801
0.01,1024,50,100,"dart",10,1,1,0
0.1,2048,50,100,"dart",10,1,1,0
0.05,2048,50,100,"dart",10,1,1,0
0.01,2048,50,100,"dart",10,1,1,0
0.1,256,60,100,"dart",10,1,1,0.612899766881252
0.05,256,60,100,"dart",10,1,1,0.637006906192539
0.01,256,60,100,"dart",10,1,1,0
0.1,512,60,100,"dart",10,1,1,0
0.05,512,60,100,"dart",10,1,1,0
0.01,512,60,100,"dart",10,1,1,0
0.1,1024,60,100,"dart",10,1,1,0.612439089288055
0.05,1024,60,100,"dart",10,1,1,0.678331870549596
0.01,1024,60,100,"dart",10,1,1,0.623788239218754
0.1,2048,60,100,"dart",10,1,1,0
0.05,2048,60,100,"dart",10,1,1,0
0.01,2048,60,100,"dart",10,1,1,0.634203127047732
0.1,256,70,100,"dart",10,1,1,0.64051361580283
0.05,256,70,100,"dart",10,1,1,0
0.01,256,70,100,"dart",10,1,1,0.605913154330965
0.1,512,70,100,"dart",10,1,1,0
0.05,512,70,100,"dart",10,1,1,0
0.01,512,70,100,"dart",10,1,1,0
0.1,1024,70,100,"dart",10,1,1,0.637819049018479
0.05,1024,70,100,"dart",10,1,1,0
0.01,1024,70,100,"dart",10,1,1,0
0.1,2048,70,100,"dart",10,1,1,0
0.05,2048,70,100,"dart",10,1,1,0
0.01,2048,70,100,"dart",10,1,1,0.643490149045087
0.1,256,40,150,"dart",10,1,1,0
0.05,256,40,150,"dart",10,1,1,0
0.01,256,40,150,"dart",10,1,1,0
0.1,512,40,150,"dart",10,1,1,0.579731973010647
0.05,512,40,150,"dart",10,1,1,0
0.01,512,40,150,"dart",10,1,1,0
0.1,1024,40,150,"dart",10,1,1,0.608339654412378
0.05,1024,40,150,"dart",10,1,1,0
0.01,1024,40,150,"dart",10,1,1,0.603745785395726
0.1,2048,40,150,"dart",10,1,1,0
0.05,2048,40,150,"dart",10,1,1,0
0.01,2048,40,150,"dart",10,1,1,0
0.1,256,50,150,"dart",10,1,1,0
0.05,256,50,150,"dart",10,1,1,0
0.01,256,50,150,"dart",10,1,1,0
0.1,512,50,150,"dart",10,1,1,0
0.05,512,50,150,"dart",10,1,1,0
0.01,512,50,150,"dart",10,1,1,0
0.1,1024,50,150,"dart",10,1,1,0
0.05,1024,50,150,"dart",10,1,1,0
0.01,1024,50,150,"dart",10,1,1,0
0.1,2048,50,150,"dart",10,1,1,0
0.05,2048,50,150,"dart",10,1,1,0
0.01,2048,50,150,"dart",10,1,1,0
0.1,256,60,150,"dart",10,1,1,0.554921903233877
0.05,256,60,150,"dart",10,1,1,0
0.01,256,60,150,"dart",10,1,1,0
0.1,512,60,150,"dart",10,1,1,0
0.05,512,60,150,"dart",10,1,1,0
0.01,512,60,150,"dart",10,1,1,0
0.1,1024,60,150,"dart",10,1,1,0
0.05,1024,60,150,"dart",10,1,1,0
0.01,1024,60,150,"dart",10,1,1,0
0.1,2048,60,150,"dart",10,1,1,0
0.05,2048,60,150,"dart",10,1,1,0
0.01,2048,60,150,"dart",10,1,1,0
0.1,256,70,150,"dart",10,1,1,0
0.05,256,70,150,"dart",10,1,1,0
0.01,256,70,150,"dart",10,1,1,0
0.1,512,70,150,"dart",10,1,1,0
0.05,512,70,150,"dart",10,1,1,0.679168834366548
0.01,512,70,150,"dart",10,1,1,0.624118854819045
0.1,1024,70,150,"dart",10,1,1,0
0.05,1024,70,150,"dart",10,1,1,0
0.01,1024,70,150,"dart",10,1,1,0
0.1,2048,70,150,"dart",10,1,1,0
0.05,2048,70,150,"dart",10,1,1,0
0.01,2048,70,150,"dart",10,1,1,0
0.1,256,40,100,"gbdt",15,1,1,0
0.05,256,40,100,"gbdt",15,1,1,0
0.01,256,40,100,"gbdt",15,1,1,0
0.1,512,40,100,"gbdt",15,1,1,0
0.05,512,40,100,"gbdt",15,1,1,0.64020285699535
0.01,512,40,100,"gbdt",15,1,1,0
0.1,1024,40,100,"gbdt",15,1,1,0
0.05,1024,40,100,"gbdt",15,1,1,0
0.01,1024,40,100,"gbdt",15,1,1,0
0.1,2048,40,100,"gbdt",15,1,1,0
0.05,2048,40,100,"gbdt",15,1,1,0.651877658328137
0.01,2048,40,100,"gbdt",15,1,1,0
0.1,256,50,100,"gbdt",15,1,1,0
0.05,256,50,100,"gbdt",15,1,1,0.642141872813271
0.01,256,50,100,"gbdt",15,1,1,0
0.1,512,50,100,"gbdt",15,1,1,0
0.05,512,50,100,"gbdt",15,1,1,0
0.01,512,50,100,"gbdt",15,1,1,0
0.1,1024,50,100,"gbdt",15,1,1,0
0.05,1024,50,100,"gbdt",15,1,1,0
0.01,1024,50,100,"gbdt",15,1,1,0.645342787814283
0.1,2048,50,100,"gbdt",15,1,1,0
0.05,2048,50,100,"gbdt",15,1,1,0
0.01,2048,50,100,"gbdt",15,1,1,0
0.1,256,60,100,"gbdt",15,1,1,-1
0.05,256,60,100,"gbdt",15,1,1,0
0.01,256,60,100,"gbdt",15,1,1,0.623437766825653
0.1,512,60,100,"gbdt",15,1,1,-1
0.05,512,60,100,"gbdt",15,1,1,0
0.01,512,60,100,"gbdt",15,1,1,0
0.1,1024,60,100,"gbdt",15,1,1,0
0.05,1024,60,100,"gbdt",15,1,1,0
0.01,1024,60,100,"gbdt",15,1,1,0.659060853127246
0.1,2048,60,100,"gbdt",15,1,1,0
0.05,2048,60,100,"gbdt",15,1,1,0
0.01,2048,60,100,"gbdt",15,1,1,0
0.1,256,70,100,"gbdt",15,1,1,0
0.05,256,70,100,"gbdt",15,1,1,0
0.01,256,70,100,"gbdt",15,1,1,0.632849886617713
0.1,512,70,100,"gbdt",15,1,1,0
0.05,512,70,100,"gbdt",15,1,1,0
0.01,512,70,100,"gbdt",15,1,1,0.652686822635155
0.1,1024,70,100,"gbdt",15,1,1,-1
0.05,1024,70,100,"gbdt",15,1,1,0
0.01,1024,70,100,"gbdt",15,1,1,0
0.1,2048,70,100,"gbdt",15,1,1,0
0.05,2048,70,100,"gbdt",15,1,1,0
0.01,2048,70,100,"gbdt",15,1,1,0
0.1,256,40,150,"gbdt",15,1,1,0
0.05,256,40,150,"gbdt",15,1,1,0
0.01,256,40,150,"gbdt",15,1,1,0
0.1,512,40,150,"gbdt",15,1,1,0
0.05,512,40,150,"gbdt",15,1,1,0.576135907832711
0.01,512,40,150,"gbdt",15,1,1,0
0.1,1024,40,150,"gbdt",15,1,1,-1
0.05,1024,40,150,"gbdt",15,1,1,0
0.01,1024,40,150,"gbdt",15,1,1,0.643752258710182
0.1,2048,40,150,"gbdt",15,1,1,0
0.05,2048,40,150,"gbdt",15,1,1,0.593771718367136
0.01,2048,40,150,"gbdt",15,1,1,0.656997732354261
0.1,256,50,150,"gbdt",15,1,1,0
0.05,256,50,150,"gbdt",15,1,1,0
0.01,256,50,150,"gbdt",15,1,1,0
0.1,512,50,150,"gbdt",15,1,1,0
0.05,512,50,150,"gbdt",15,1,1,0
0.01,512,50,150,"gbdt",15,1,1,0
0.1,1024,50,150,"gbdt",15,1,1,0
